Cheval_clean;Poids_groupe;Cheval;Valeur_poids;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
ADAUGHTERSLOVE;554;A DAUGHTERS LOVE;554;1;0;1;3.0;0.0;100.0
ADDAGIRLADDIE;570;ADDAGIRL ADDIE;570;2;0;0;6.5;0.0;0.0
ADDAOU;610;ADDAOU;610;1;0;0;10.0;0.0;0.0
ADDEBEL;580;AD DEBEL;580;1;0;1;2.0;0.0;100.0
ADDEDTOUCH;554;ADDED TOUCH;554;1;0;0;5.0;0.0;0.0
ADDICTEDTOLOVE;550;ADDICTED TO LOVE;550;1;0;1;2.0;0.0;100.0
ADELA;524;ADELA;524;1;0;0;9.0;0.0;0.0
ADELA;550;ADELA;550;2;0;0;8.5;0.0;0.0
ADELA;580;ADELA;580;1;0;1;2.0;0.0;100.0
ADELAIDE;540;ADELAIDE;540;1;0;1;2.0;0.0;100.0
ADELAIDEBAY;580;ADELAIDE BAY;580;1;0;0;9.0;0.0;0.0
ADELAIDEBAY;590;ADELAIDE BAY;590;1;0;0;10.0;0.0;0.0
ADELAIDERIVER;594;ADELAIDE RIVER;594;1;0;0;15.0;0.0;0.0
ADELSUN;574;ADEL SUN;574;1;0;0;4.0;0.0;0.0
ADESANYA;560;ADESANYA;560;2;0;0;3.0;0.0;0.0
ADICCION;514;ADICCION;514;1;0;1;3.0;0.0;100.0
ADICCION;524;ADICCION;524;1;0;0;8.0;0.0;0.0
ADICCION;530;ADICCION;530;1;0;0;8.0;0.0;0.0
ADICCION;534;ADICCION;534;1;0;1;3.0;0.0;100.0
ADICCION;540;ADICCION;540;1;0;0;6.0;0.0;0.0
ADICCION;560;ADICCION;560;2;1;1;2.5;50.0;50.0
ADICCION;580;ADICCION;580;2;0;0;10.0;0.0;0.0
ADICCION;600;ADICCION;600;1;0;0;5.0;0.0;0.0
ADICTA;564;ADICTA;564;1;0;1;2.0;0.0;100.0
ADIL;560;ADIL;560;1;0;1;2.0;0.0;100.0
ADINA;604;ADINA;604;1;0;0;5.0;0.0;0.0
ADIO;594;ADIO;594;1;0;0;4.0;0.0;0.0
ADIOS;570;ADIOS;570;3;0;0;10.0;0.0;0.0
ADIOSAMOR;594;ADIOS AMOR;594;1;0;0;8.0;0.0;0.0
ADIOSAMOR;644;ADIOS AMOR;644;1;1;1;1.0;100.0;100.0
ADIOSCOLE;544;ADIOS COLE;544;2;0;1;5.5;0.0;50.0
