Cheval_clean;Surface;Cheval;Valeur_surface;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
ADJOE;GAZON;ADJOE;GAZON;6;1;2;4.666666666666667;16.7;33.3
ADLANSENORA;GAZON;ADLAN SENORA;GAZON;6;1;1;6.0;16.7;16.7
ADMIRALDENNIS;GAZON;ADMIRAL DENNIS;GAZON;1;0;0;6.0;0.0;0.0
ADMIRALJOY;GAZON;ADMIRAL JOY;GAZON;2;0;0;4.5;0.0;0.0
ADMIREDBEAUTY;GAZON;ADMIRED BEAUTY;GAZON;1;0;1;2.0;0.0;100.0
ADONATA;GAZON;ADONATA;GAZON;2;0;0;2.5;0.0;0.0
ADONIDE;GAZON;ADONIDE;GAZON;5;0;1;8.8;0.0;20.0
ADORA;GAZON;ADORA;GAZON;3;0;0;2.6666666666666665;0.0;0.0
ADORABLE;GAZON;ADORABLE;GAZON;1;0;0;14.0;0.0;0.0
ADORADORIM;GAZON;ADORADO RIM;GAZON;2;0;0;5.5;0.0;0.0
ADORAEMOTION;GAZON;ADORA EMOTION;GAZON;1;0;0;4.0;0.0;0.0
ADRASTEIA;GAZON;ADRASTEIA;GAZON;1;0;0;0.0;0.0;0.0
ADRASTINA;GAZON;ADRASTINA;GAZON;1;0;0;8.0;0.0;0.0
ADRIAN;GAZON;ADRIAN;GAZON;1;0;0;0.0;0.0;0.0
ADROIT;GAZON;ADROIT;GAZON;1;0;0;6.0;0.0;0.0
ADVANCED;GAZON;ADVANCED;GAZON;1;1;1;1.0;100.0;100.0
ADVANCING;GAZON;ADVANCING;GAZON;1;1;1;1.0;100.0;100.0
ADVENTURA;GAZON;ADVENTURA;GAZON;7;0;2;5.428571428571429;0.0;28.6
ADVENTURIST;GAZON;ADVENTURIST;GAZON;1;0;0;0.0;0.0;0.0
ADVERSARY;GAZON;ADVERSARY;GAZON;6;2;2;5.5;33.3;33.3
ADVERTISED;GAZON;ADVERTISED;GAZON;1;0;0;0.0;0.0;0.0
ADVOKAAT;GAZON;ADVOKAAT;GAZON;1;0;0;0.0;0.0;0.0
ADWAN;GAZON;ADWAN;GAZON;10;0;0;9.0;0.0;0.0
AEDION;GAZON;AEDION;GAZON;5;0;1;8.4;0.0;20.0
AEGISPOWER;GAZON;AEGIS POWER;GAZON;1;0;1;2.0;0.0;100.0
AEGONTARGARYEN;GAZON;AEGON TARGARYEN;GAZON;1;0;1;2.0;0.0;100.0
AEIH;GAZON;AEIH;GAZON;4;0;0;9.25;0.0;0.0
AEOLIAN;GAZON;AEOLIAN;GAZON;1;1;1;1.0;100.0;100.0
AERIALAFFAIR;GAZON;AERIAL AFFAIR;GAZON;1;0;1;3.0;0.0;100.0
AERIALIST;GAZON;AERIALIST;GAZON;5;0;1;3.2;0.0;20.0
AEROCHAMPION;GAZON;AERO CHAMPION;GAZON;1;0;0;4.0;0.0;0.0
AERODYNAMICS;GAZON;AERODYNAMICS;GAZON;5;0;0;9.0;0.0;0.0
AEROINVINCIBLE;GAZON;AEROINVINCIBLE;GAZON;2;0;0;5.0;0.0;0.0
AERONAUTIC;GAZON;AERONAUTIC;GAZON;3;0;1;4.333333333333333;0.0;33.3
AERONEF;GAZON;AERONEF;GAZON;2;2;2;1.0;100.0;100.0
AEROPOSTAL;GAZON;AEROPOSTAL;GAZON;1;0;1;2.0;0.0;100.0
AEROVOLANIC;GAZON;AEROVOLANIC;GAZON;3;1;1;5.0;33.3;33.3
AESTHETICISM;GAZON;AESTHETICISM;GAZON;7;0;0;6.714285714285714;0.0;0.0
AETHELWIND;GAZON;AETHELWIND;GAZON;2;0;0;13.0;0.0;0.0
AFANDY;GAZON;AFANDY;GAZON;4;2;3;2.0;50.0;75.0
AFESTATHA;GAZON;AF ESTATHA;GAZON;1;0;0;0.0;0.0;0.0
AFFAIRISTE;GAZON;AFFAIRISTE;GAZON;2;0;0;10.5;0.0;0.0
AFFECTION;GAZON;AFFECTION;GAZON;4;2;3;3.0;50.0;75.0
AFFIRMATIF;GAZON;AFFIRMATIF;GAZON;2;0;0;3.5;0.0;0.0
AFGHAYYAR;GAZON;AF GHAYYAR;GAZON;2;0;0;6.5;0.0;0.0
AFIRMATEGATO;GAZON;AFIRMATE GATO;GAZON;6;0;1;4.5;0.0;16.7
AFJAN;GAZON;AFJAN;GAZON;5;0;4;3.0;0.0;80.0
AFLAYTH;GAZON;AF LAYTH;GAZON;3;0;0;11.333333333333334;0.0;0.0
AFMARMUQ;GAZON;AF MARMUQ;GAZON;1;0;0;0.0;0.0;0.0
AFMEZAN;GAZON;AF MEZAN;GAZON;2;0;0;4.0;0.0;0.0
AFMUHEM;GAZON;AF MUHEM;GAZON;1;0;0;4.0;0.0;0.0
AFMUKHREJ;GAZON;AF MUKHREJ;GAZON;1;0;0;0.0;0.0;0.0
AFOGADO;GAZON;AFOGADO;GAZON;4;0;0;7.75;0.0;0.0
AFRAJ;GAZON;AFRAJ;GAZON;1;0;1;3.0;0.0;100.0
AFRICA;GAZON;AFRICA;GAZON;2;0;0;14.5;0.0;0.0
AFRICANCANDY;GAZON;AFRICAN CANDY;GAZON;1;0;0;8.0;0.0;0.0
AFRICANGREY;GAZON;AFRICAN GREY;GAZON;8;0;1;7.75;0.0;12.5
AFRIKAANS;GAZON;AFRIKAANS;GAZON;1;0;1;3.0;0.0;100.0
AFRIKASALVAJE;GAZON;AFRIKA SALVAJE;GAZON;1;0;0;7.0;0.0;0.0
AFRODITA;GAZON;AFRODITA;GAZON;1;0;0;0.0;0.0;0.0
AFTERGLOW;GAZON;AFTERGLOW;GAZON;9;1;3;5.333333333333333;11.1;33.3
AFTERTAXES;GAZON;AFTER TAXES;GAZON;2;2;2;1.0;100.0;100.0
AFTERTIME;GAZON;AFTER TIME;GAZON;7;0;2;4.857142857142857;0.0;28.6
AFYATWA'AD;GAZON;AF YATWA'AD;GAZON;1;0;0;6.0;0.0;0.0
AFYON;GAZON;AFYON;GAZON;2;0;0;7.5;0.0;0.0
AGAINAGAIN;GAZON;AGAIN AGAIN;GAZON;2;0;1;4.0;0.0;50.0
AGAINSTALLODDS;GAZON;AGAINST ALL ODDS;GAZON;1;0;0;6.0;0.0;0.0
AGAINSTTHETIME;GAZON;AGAINST THE TIME;GAZON;1;0;0;0.0;0.0;0.0
AGAMEMNON;GAZON;AGAMEMNON;GAZON;9;1;1;7.111111111111111;11.1;11.1
AGANDJIR;GAZON;AGANDJIR;GAZON;3;0;0;6.333333333333333;0.0;0.0
AGATHA;GAZON;AGATHA;GAZON;1;0;0;12.0;0.0;0.0
AGATHASENORA;GAZON;AGATHA SENORA;GAZON;7;2;2;6.0;28.6;28.6
AGBULLET;GAZON;AG BULLET;GAZON;1;0;1;2.0;0.0;100.0
AGELESSLIPS;GAZON;AGELESS LIPS;GAZON;2;1;2;2.0;50.0;100.0
AGELKA;GAZON;AGELKA;GAZON;5;0;2;4.4;0.0;40.0
AGENDA;GAZON;AGENDA;GAZON;3;0;0;8.333333333333334;0.0;0.0
AGENTSIM;GAZON;AGENT SIM;GAZON;5;0;0;6.0;0.0;0.0
AGEOFAQUARIUS;GAZON;AGE OF AQUARIUS;GAZON;1;0;0;8.0;0.0;0.0
AGEOFTIME;GAZON;AGE OF TIME;GAZON;1;0;0;8.0;0.0;0.0
AGGENSTEIN;GAZON;AGGENSTEIN;GAZON;1;0;0;9.0;0.0;0.0
AGGRESSIVELIME;GAZON;AGGRESSIVE LIME;GAZON;1;0;0;5.0;0.0;0.0
AGILE;GAZON;AGILE;GAZON;2;0;0;7.5;0.0;0.0
AGIOTA;GAZON;AGIOTA;GAZON;3;1;1;3.3333333333333335;33.3;33.3
AGITATOR;GAZON;AGITATOR;GAZON;1;0;0;24.0;0.0;0.0
AGLAIA;GAZON;AGLAIA;GAZON;1;0;0;0.0;0.0;0.0
AGNESE;GAZON;AGNESE;GAZON;3;1;2;2.3333333333333335;33.3;66.7
