Cheval_clean;Jockey_clean;Cheval;Jockey;Courses;Victoires;Podiums;Taux_victoire;Taux_podium
KITTEN'SBLACK;BENJAMINSANCHO;KITTEN'S BLACK;BENJAMIN  SANCHO;1;0;0;0.0;0.0
KITTENDREAM;MJUSTUM;KITTEN DREAM;M.JUSTUM;1;0;0;0.0;0.0
KITTENSSTORMYGAL;JGRAHAM;KITTENS STORMY GAL;J GRAHAM;1;0;0;0.0;0.0
KITTOY;LESLYCAROLINAGONZALEZ;KITTOY;LESLY CAROLINA GONZALEZ;1;0;0;0.0;0.0
KITTYFOYLE;HECTORCROUCH;KITTY FOYLE;HECTOR CROUCH;1;0;0;0.0;0.0
KIWICAT;EHARDOUIN;KIWICAT;E.HARDOUIN;1;0;0;0.0;0.0
KIWICAT;HLEBOUC;KIWICAT;H.LEBOUC;3;0;0;0.0;0.0
KIWICAT;JMOUTARD;KIWICAT;J.MOUTARD;2;0;1;0.0;50.0
KIWICAT;JNICOLEAU;KIWICAT;J.NICOLEAU;1;0;0;0.0;0.0
KIWICAT;TLEGRAET;KIWICAT;T.LE GRAET;1;0;0;0.0;0.0
KIWIDECIERGUES;LPOGGIONOVO;KIWI DE CIERGUES;L.POGGIONOVO;1;0;0;0.0;0.0
KIZLYAR;JOSEPHSHERIDAN;KIZLYAR;JOSEPH SHERIDAN;1;1;1;100.0;100.0
KIZMAMBO;AMADAMET;KIZMAMBO;A.MADAMET;3;0;2;0.0;66.7
KIZMAMBO;CDEMURO;KIZMAMBO;C.DEMURO;1;0;1;0.0;100.0
KIZMAMBO;MVELON;KIZMAMBO;M.VELON;2;0;0;0.0;0.0
KLARABELLE;CPACAUT;KLARABELLE;C.PACAUT;1;0;0;0.0;0.0
KLARABELLE;FVALLESKAR;KLARABELLE;F.VALLE SKAR;1;0;0;0.0;0.0
KLARABELLE;TGUINEHEUX;KLARABELLE;T.GUINEHEUX;2;0;1;0.0;50.0
KLASHKARAYIB;FTORRALBA;KLASH KARAYIB;F.TORRALBA;1;0;0;0.0;0.0
KLASSICPRECIEUX;FVALLESKAR;KLASSIC PRECIEUX;F.VALLE SKAR;2;0;0;0.0;0.0
KLASSICPRECIEUX;TPICCONE;KLASSIC PRECIEUX;T.PICCONE;2;0;0;0.0;0.0
KLEINBLUE;MICHAELCADEDDU;KLEIN BLUE;MICHAEL CADEDDU;1;0;0;0.0;0.0
KLIFFBERE;JMOUTARD;KLIFF BERE;J.MOUTARD;4;2;2;50.0;50.0
KLIFFBERE;TTRULLIER;KLIFF BERE;T.TRULLIER;1;0;0;0.0;0.0
KLIFFHANGER;ACRASTUS;KLIFFHANGER;A.CRASTUS;1;0;0;0.0;0.0
KLIFFHANGER;SJUST;KLIFFHANGER;S. JUST;1;0;0;0.0;0.0
KLIMAAA;CMERILLE;KLIMA AA;C.MERILLE;1;0;0;0.0;0.0
KLIMAAA;MFOREST;KLIMA AA;M.FOREST;1;0;1;0.0;100.0
KLIMAAA;MROMARY;KLIMA AA;M.ROMARY;1;0;0;0.0;0.0
KLINJA;ADRIEDEVRIES;KLINJA;ADRIE DE VRIES;1;0;0;0.0;0.0
KLOSE;ERICACOSTA;KLOSE;ERIC ACOSTA;1;0;1;0.0;100.0
