Cheval_clean;Hippo;Cheval;Hippodrome;Courses;Victoires;Podiums;Moyenne_classement;Derniere_course;Taux_victoire;Taux_podium;Jours_depuis
TOROPENTAGOLEADOR;SANTIAGO;TORO PENTAGOLEADOR;SANTIAGO;3;0;0;7.0;2026-07-13;0.0;0.0;8.0
TORPEDOCHARGEB;MARONAS;TORPEDO CHARGE B;MARONAS;3;0;0;8.0;2026-06-21;0.0;0.0;30.0
TORPILLON;MONT DE MARSAN;TORPILLON;MONT DE MARSAN;1;0;0;14.0;2026-03-12;0.0;0.0;131.0
TORPILLON;PAU;TORPILLON;PAU;1;0;0;13.0;2026-01-18;0.0;0.0;184.0
TORREADOR;DIEPPE;TORREADOR;DIEPPE;1;0;0;10.0;2026-07-09;0.0;0.0;12.0
TORREADOR;LE LION D'ANGERS;TORREADOR;LE LION D'ANGERS;1;0;1;2.0;2026-04-20;0.0;100.0;92.0
TORREADOR;PORNICHET;TORREADOR;PORNICHET;3;0;1;7.333333333333333;2026-03-25;0.0;33.3;118.0
TORREADOR;ParisLongchamp;TORREADOR;ParisLongchamp;1;0;1;3.0;2026-05-24;0.0;100.0;58.0
TORREMOLINOS;PALERMO;TORREMOLINOS;PALERMO;2;0;0;3.5;2026-06-10;0.0;0.0;41.0
TORRONE;CHANTILLY;TORRONE;CHANTILLY;2;0;0;9.0;2026-03-08;0.0;0.0;135.0
TORRONE;DEAUVILLE;TORRONE;DEAUVILLE;1;0;1;2.0;2026-06-26;0.0;100.0;25.0
TORRONE;ParisLongchamp;TORRONE;ParisLongchamp;2;0;0;9.5;2026-05-21;0.0;0.0;61.0
TORRONE;SAINT-CLOUD;TORRONE;SAINT-CLOUD;1;0;1;2.0;2026-04-30;0.0;100.0;82.0
TORTISAMBERT;CHANTILLY;TORTISAMBERT;CHANTILLY;1;1;1;1.0;2026-03-26;100.0;100.0;117.0
TORTISAMBERT;DEAUVILLE;TORTISAMBERT;DEAUVILLE;2;0;1;5.0;2026-01-30;0.0;50.0;172.0
TORTISAMBERT;ParisLongchamp;TORTISAMBERT;ParisLongchamp;3;0;2;3.0;2026-06-07;0.0;66.7;44.0
TORTOLA;DEAUVILLE;TORTOLA;DEAUVILLE;1;0;0;11.0;2026-01-23;0.0;0.0;179.0
TORTOLA;PORNICHET;TORTOLA;PORNICHET;2;0;1;1.5;2026-01-07;0.0;50.0;195.0
TORTUGUERO;AVENCHES;TORTUGUERO;AVENCHES;1;0;1;3.0;2026-07-18;0.0;100.0;3.0
TORTUREDSOUL;KEMPTON PARK;TORTURED SOUL;KEMPTON PARK;2;0;1;3.5;2026-03-18;0.0;50.0;125.0
TORTUREDSOUL;WOLVERHAMPTON;TORTURED SOUL;WOLVERHAMPTON;1;0;0;7.0;2026-01-26;0.0;0.0;176.0
TOSCA;GULFSTREAM PARK;TOSCA;GULFSTREAM PARK;2;0;0;0.0;2026-04-25;0.0;0.0;87.0
TOSCANABEACH;SAN ISIDRO;TOSCANA BEACH;SAN ISIDRO;1;0;0;5.0;2026-06-24;0.0;0.0;27.0
TOSCANALAW;MARONAS;TOSCANA LAW;MARONAS;8;0;1;6.625;2026-07-19;0.0;12.5;2.0
TOSCANE;ANGERS;TOSCANE;ANGERS;1;0;0;11.0;2026-05-20;0.0;0.0;62.0
TOSCANETEMPLE;LE MANS;TOSCANE TEMPLE;LE MANS;1;1;1;1.0;2026-04-21;100.0;100.0;91.0
TOSCANETEMPLE;MACHECOUL;TOSCANE TEMPLE;MACHECOUL;1;0;0;5.0;2026-02-22;0.0;0.0;149.0
TOSCANO;SARATOGA;TOSCANO;SARATOGA;1;0;0;6.0;2026-07-11;0.0;0.0;10.0
