Cheval_clean;Terrain_clean;Cheval;Terrain;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
TRENDELAQUINTA;HERBE;TREN DE LA QUINTA;HERBE;2;0;0;7.5;0.0;0.0
TRENDELAQUINTA;TROIS_ANS_ET_PLUS;TREN DE LA QUINTA;TROIS_ANS_ET_PLUS;3;0;1;9.0;0.0;33.3
TRENDEVIDA;DIRT;TREN DE VIDA;DIRT;1;0;0;6.0;0.0;0.0
TRENDEVIDA;TROIS_ANS;TREN DE VIDA;TROIS_ANS;1;0;1;3.0;0.0;100.0
TRENDEVIDA;TROIS_ANS_ET_PLUS;TREN DE VIDA;TROIS_ANS_ET_PLUS;1;0;0;6.0;0.0;0.0
TRENDWINNING;QUATRE_ANS;TREND WINNING;QUATRE_ANS;1;0;0;7.0;0.0;0.0
TRENDYRUSH;HERBE;TRENDY RUSH;HERBE;4;0;1;7.0;0.0;25.0
TRENEXPRESO;TROIS_ANS;TREN EXPRESO;TROIS_ANS;2;0;0;12.5;0.0;0.0
TRENO;GAZON;TRENO;GAZON;2;0;0;12.0;0.0;0.0
TRENZAMORENA;HERBE;TRENZA MORENA;HERBE;1;0;0;4.0;0.0;0.0
TRESARROYOS;TROIS_ANS;TRES ARROYOS;TROIS_ANS;1;0;0;6.0;0.0;0.0
TRESCHIC;HERBE;TRES CHIC;HERBE;1;1;1;1.0;100.0;100.0
TRESCHIC;QUATRE_ANS_ET_PLUS;TRES CHIC;QUATRE_ANS_ET_PLUS;4;1;1;5.25;25.0;25.0
TRESCHIC;TROIS_ANS_ET_PLUS;TRES CHIC;TROIS_ANS_ET_PLUS;1;0;1;3.0;0.0;100.0
TRESINAPRIME;GAZON;TRESINA PRIME;GAZON;1;0;0;0.0;0.0;0.0
TRESORMAGNIFIQUE;HERBE;TRESOR MAGNIFIQUE;HERBE;3;1;1;4.666666666666667;33.3;33.3
TRESPASSING;DEUX_ANS_ET_PLUS;TRESPASSING;DEUX_ANS_ET_PLUS;1;0;0;11.0;0.0;0.0
TRESPRINCIPES;HERBE;TRES PRINCIPES;HERBE;2;0;0;6.5;0.0;0.0
TRESPRINCIPES;TROIS_ANS_ET_PLUS;TRES PRINCIPES;TROIS_ANS_ET_PLUS;2;2;2;1.0;100.0;100.0
TREVANION;GAZON;TREVANION;GAZON;3;0;2;1.6666666666666667;0.0;66.7
TREVI;HERBE;TREVI;HERBE;1;0;0;9.0;0.0;0.0
TREVORSENORA;HERBE;TREVOR SENORA;HERBE;6;3;5;2.1666666666666665;50.0;83.3
TRIACASTELA;TROIS_ANS_ET_PLUS;TRIACASTELA;TROIS_ANS_ET_PLUS;1;0;1;2.0;0.0;100.0
TRIATHELON;HERBE;TRIATHELON;HERBE;1;0;0;4.0;0.0;0.0
TRIBALCHIEF;HERBE;TRIBAL CHIEF;HERBE;2;0;1;4.5;0.0;50.0
TRIBALWISDOM;GAZON;TRIBAL WISDOM;GAZON;2;0;0;5.0;0.0;0.0
TRIBECA;HERBE;TRIBECA;HERBE;2;0;1;8.0;0.0;50.0
TRIBECCA;CINQ_ANS_ET_PLUS;TRIBECCA;CINQ_ANS_ET_PLUS;1;0;0;6.0;0.0;0.0
TRIBECCA;GAZON;TRIBECCA;GAZON;1;0;0;6.0;0.0;0.0
TRIBILIN;CINQ_ANS_ET_PLUS;TRIBILIN;CINQ_ANS_ET_PLUS;1;0;0;5.0;0.0;0.0
TRICKYBUSINESS;GAZON;TRICKY BUSINESS;GAZON;1;0;0;5.0;0.0;0.0
TRICKYTEL;TROIS_ANS;TRICKY TEL;TROIS_ANS;1;0;0;0.0;0.0;0.0
TRIGGERCUTE;CINQ_ANS;TRIGGER CUTE;CINQ_ANS;1;0;0;6.0;0.0;0.0
TRIGGERCUTE;QUATRE_ANS;TRIGGER CUTE;QUATRE_ANS;1;0;0;8.0;0.0;0.0
TRIGGERKITTEN;GAZON;TRIGGER KITTEN;GAZON;1;0;0;4.0;0.0;0.0
TRIGGERKITTEN;QUATRE_ANS_ET_PLUS;TRIGGER KITTEN;QUATRE_ANS_ET_PLUS;1;1;1;1.0;100.0;100.0
TRIGGERKITTEN;TROIS_ANS_ET_PLUS;TRIGGER KITTEN;TROIS_ANS_ET_PLUS;1;0;0;7.0;0.0;0.0
TRIGGERMAN;GAZON;TRIGGERMAN;GAZON;1;0;0;6.0;0.0;0.0
TRIGOMADURO;TROIS_ANS;TRIGO MADURO;TROIS_ANS;1;0;0;8.0;0.0;0.0
TRILL;GAZON;TRILL;GAZON;2;1;1;0.5;50.0;50.0
TRILL;HERBE;TRILL;HERBE;1;0;0;10.0;0.0;0.0
TRILL;TROIS_ANS_ET_PLUS;TRILL;TROIS_ANS_ET_PLUS;1;0;1;3.0;0.0;100.0
TRINCULO;TROIS_ANS_ET_PLUS;TRINCULO;TROIS_ANS_ET_PLUS;1;0;0;0.0;0.0;0.0
TRINILOPEZ;GAZON;TRINI LOPEZ;GAZON;1;0;0;8.0;0.0;0.0
TRINITYTREASURE;HERBE;TRINITY TREASURE;HERBE;1;0;0;11.0;0.0;0.0
TRINQUETTE;HERBE;TRINQUETTE;HERBE;4;2;2;3.0;50.0;50.0
TRIOMPHEDESBOIS;HERBE;TRIOMPHE DES BOIS;HERBE;5;0;1;6.4;0.0;20.0
TRIOMPHEDESBOIS;QUATRE_ANS_ET_PLUS;TRIOMPHE DES BOIS;QUATRE_ANS_ET_PLUS;1;0;0;0.0;0.0;0.0
TRIPLEA;GAZON;TRIPLE A;GAZON;1;0;0;4.0;0.0;0.0
TRIPLEA;TROIS_ANS_ET_PLUS;TRIPLE A;TROIS_ANS_ET_PLUS;4;0;1;5.5;0.0;25.0
TRIPLECHARGED;GAZON;TRIPLE CHARGED;GAZON;1;0;0;4.0;0.0;0.0
TRIPLECORONADO;QUATRE_ANS_ET_PLUS;TRIPLECORONADO;QUATRE_ANS_ET_PLUS;2;0;1;4.5;0.0;50.0
TRIPLEESPRESSO;GAZON;TRIPLE ESPRESSO;GAZON;1;0;0;14.0;0.0;0.0
TRIPLEFORTUNE;HERBE;TRIPLE FORTUNE;HERBE;1;0;0;12.0;0.0;0.0
TRIPLEJAY;DEUX_ANS_ET_PLUS;TRIPLE JAY;DEUX_ANS_ET_PLUS;1;0;0;0.0;0.0;0.0
TRIPLESEPT;HERBE;TRIPLE SEPT;HERBE;4;0;2;3.5;0.0;50.0
TRIPLETHREAT;GAZON;TRIPLE THREAT;GAZON;2;0;0;8.0;0.0;0.0
TRIPOLAR;GAZON;TRIPOLAR;GAZON;1;0;1;3.0;0.0;100.0
TRIPOLITAIN;HERBE;TRIPOLITAIN;HERBE;1;0;0;5.0;0.0;0.0
TRIPP'SPROMISE;GAZON;TRIPP'S PROMISE;GAZON;1;0;0;6.0;0.0;0.0
TRIPTAJIKA;GAZON;TRIPTAJIKA;GAZON;4;0;1;7.5;0.0;25.0
TRIPTAJIKA;HERBE;TRIPTAJIKA;HERBE;8;0;0;8.75;0.0;0.0
TRISTEZAAMOROSA;TROIS_ANS;TRISTEZA AMOROSA;TROIS_ANS;1;0;0;8.0;0.0;0.0
TRIUMPHANTMORE;HERBE;TRIUMPHANT MORE;HERBE;3;0;0;9.0;0.0;0.0
TRIUMPHANTROAD;GAZON;TRIUMPHANT ROAD;GAZON;2;1;1;0.5;50.0;50.0
TRIUMPHANTWARRIOR;GAZON;TRIUMPHANT WARRIOR;GAZON;1;0;0;6.0;0.0;0.0
TRIUMPHANTWARRIOR;HERBE;TRIUMPHANT WARRIOR;HERBE;1;0;0;5.0;0.0;0.0
TRIUMPHRETURN;HERBE;TRIUMPH RETURN;HERBE;2;0;0;9.0;0.0;0.0
TRIUQUINO;DEUX_ANS_ET_PLUS;TRIUQUINO;DEUX_ANS_ET_PLUS;2;0;1;3.0;0.0;50.0
TRIUQUINO;GAZON;TRIUQUINO;GAZON;3;0;0;4.333333333333333;0.0;0.0
TRIVENTO;SIX_ANS_ET_PLUS;TRIVENTO;SIX_ANS_ET_PLUS;1;0;0;5.0;0.0;0.0
TRIVIAL;HERBE;TRIVIAL;HERBE;1;0;0;0.0;0.0;0.0
TROFEO;GAZON;TROFEO;GAZON;1;0;0;7.0;0.0;0.0
TROFEO;HERBE;TROFEO;HERBE;1;0;0;11.0;0.0;0.0
TROIENNE;QUATRE_ANS_ET_PLUS;TROIENNE;QUATRE_ANS_ET_PLUS;2;1;1;5.0;50.0;50.0
